Lambda, valid_acc
[(2000, 0.782053671263511),
 (3000, 0.7824729780096906),
 (4000, 0.7851285874021617),
 (5000, 0.7876910175177041),
 (6000, 0.7906261647409616),
 (7000, 0.7941203876257921),
 (8000, 0.7964498695490123),
 (9000, 0.8018076779724189),
 (10000, 0.8066064107342527),
 (11000, 0.8085165859112933),
 (12000, 0.8087961237420798),
 (13000, 0.807677972418934),
 (14000, 0.8066995900111815),
 (15000, 0.8059075661572866),
 (16000, 0.8036246738725308),
 (17000, 0.8004565784569512),
 (18000, 0.7993850167722698),
 (19000, 0.7985464032799106),
 (20000, 0.7964964591874767)]

 [(11500, 0.8084234066343645),
 (11600, 0.8084234066343645),
 (11700, 0.8082370480805069),
 (11800, 0.8081904584420425),
 (11900, 0.8087029444651509),
 (12000, 0.8087961237420798),
 (12100, 0.8087029444651509),
 (12200, 0.8089824822959374),
 (12300, 0.8087495341036154),
 (12400, 0.8087029444651509),
 (12500, 0.8087495341036154)]

 [(12150, 0.8088893030190085),
 (12160, 0.808935892657473),
 (12170, 0.808935892657473),
 (12180, 0.8090756615728661),
 (12190, 0.8091222512113306),
 (12200, 0.8089824822959374),
 (12210, 0.8090756615728661),
 (12220, 0.808935892657473),
 (12230, 0.8088427133805441),
 (12240, 0.808935892657473),
 (12250, 0.808935892657473)]

 [(12180, 0.8090756615728661),
 (12182, 0.8090756615728661),
 (12184, 0.8090756615728661),
 (12186, 0.8090756615728661),
 (12188, 0.8091222512113306),
 (12190, 0.8091222512113306),
 (12192, 0.8091222512113306),
 (12194, 0.8091222512113306),
 (12196, 0.8090756615728661),
 (12198, 0.8089824822959374),
 (12200, 0.8089824822959374)]

 BestLambda: Any one of 12188-12194
 BestValidAcc: 
